name,url,test_type,remote_testing,adaptive_irt
MFS 360 Enterprise Leadership Report,https://www.shl.com/products/product-catalog/view/mfs-360-enterprise-leadership-report/,D,Yes,No
MFS 360 UCF Group Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-group-report/,D,Yes,No
MFS 360 UCF Performance Potential Dev Tips Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,D,Yes,No
MFS 360 UCF Standard Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-standard-report/,D,Yes,No
Micro Focus Unified Functional Testing (New),https://www.shl.com/products/product-catalog/view/micro-focus-unified-functional-testing-new/,K,Yes,No
Microservices (New),https://www.shl.com/products/product-catalog/view/microservices-new/,K,Yes,No
Microsoft Dynamics Development (New),https://www.shl.com/products/product-catalog/view/microsoft-dynamics-development-new/,K,Yes,No
Microsoft Excel 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-excel-365-essentials-new/,"K, S",Yes,No
Microsoft Excel 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-excel-365-new/,"K, S",Yes,No
Microsoft Outlook 2013 (adaptive),https://www.shl.com/products/product-catalog/view/microsoft-outlook-2013-adaptive/,K,Yes,Yes
Microsoft PowerPoint 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,"K, S",Yes,No
Microsoft SQL Server 2014 Programming,https://www.shl.com/products/product-catalog/view/microsoft-sql-server-2014-programming/,K,Yes,Yes
Microsoft Windows Server 2012 Administration,https://www.shl.com/products/product-catalog/view/microsoft-windows-server-2012-administration/,K,Yes,Yes
Microsoft Word 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-essentials-new/,"K, S",Yes,No
Microsoft Word 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-new/,"S, K",Yes,No
Mineral Engineering (New),https://www.shl.com/products/product-catalog/view/mineral-engineering-new/,K,Yes,No
Mining Engineering (New),https://www.shl.com/products/product-catalog/view/mining-engineering-new/,K,Yes,No
Mobility (New),https://www.shl.com/products/product-catalog/view/mobility-new/,K,Yes,No
Molecular Biology (New),https://www.shl.com/products/product-catalog/view/molecular-biology-new/,K,Yes,No
MongoDB (New),https://www.shl.com/products/product-catalog/view/mongodb-new/,K,Yes,No
Motivation Questionnaire MQM5,https://www.shl.com/products/product-catalog/view/motivation-questionnaire-mqm5/,P,Yes,No
MQ Candidate Motivation Report,https://www.shl.com/products/product-catalog/view/mq-candidate-motivation-report/,P,Yes,No
MQ Employee Motivation Report,https://www.shl.com/products/product-catalog/view/mq-employee-motivation-report/,P,Yes,No
MQ Motivation Report Pack,https://www.shl.com/products/product-catalog/view/mq-motivation-report-pack/,P,Yes,No
MQ Profile,https://www.shl.com/products/product-catalog/view/mq-profile/,P,Yes,No
MS Access (New),https://www.shl.com/products/product-catalog/view/ms-access-new/,K,Yes,No
MS Excel (New),https://www.shl.com/products/product-catalog/view/ms-excel-new/,K,Yes,No
MS Office Basic Computer Literacy (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-new/,K,Yes,No
MS Office Basic Computer Literacy (Sim) (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,S,Yes,No
MS PowerPoint (New),https://www.shl.com/products/product-catalog/view/ms-powerpoint-new/,K,Yes,No
MS Word (New),https://www.shl.com/products/product-catalog/view/ms-word-new/,K,Yes,No
MuleSoft Development (New),https://www.shl.com/products/product-catalog/view/mulesoft-development-new/,K,Yes,No
Multitasking Ability,https://www.shl.com/products/product-catalog/view/multitasking-ability/,"A, K, S",Yes,No
Networking and Implementation (New),https://www.shl.com/products/product-catalog/view/networking-and-implementation-new/,K,Yes,No
Node.js (New),https://www.shl.com/products/product-catalog/view/node-js-new/,K,Yes,No
